timestamp,car_plate,attempt_type,reason,details
2025-06-02 15:38:54,RAG557V,ENTRY_DENIED,Car already in parking,
2025-06-02 15:40:04,RAG557I,EXIT_DENIED,No entry record found,
2025-06-02 15:42:03,RAG557V,EXIT_DENIED,Payment not made,Due: 
2025-06-02 18:37:19,RAG557V,ENTRY_DENIED,Car already in parking,
2025-06-02 18:39:31,RAG557V,ENTRY_DENIED,Car already in parking,
2025-06-02 18:46:59,RAG557V,EXIT_DENIED,Previous payment too old,Paid 5.15 min ago
2025-06-02 18:55:36,RAG557V,EXIT_DENIED,Payment not made,Due: 
2025-06-03 10:46:15,RAG557V,ENTRY_DENIED,Car already in parking,
2025-06-03 10:47:17,RAG557V,EXIT_DENIED,Payment not made,Due: 
2025-06-03 10:55:39,RAG557V,ENTRY_DENIED,Car already in parking,
2025-06-03 10:56:14,RAG557V,EXIT_DENIED,Payment not made,Due: 
2025-06-03 10:56:30,RAG557V,EXIT_DENIED,Payment not made,Due: 
